##############################################################
##					Mathematical Optimization				##
## 					J.P Zaldivar & E. Millán				##
##############################################################

param m := 100;
param n := 4;
param nu := 0.9;

param y :=
1	1.0
2	-1.0
3	1.0
4	1.0
5	-1.0
6	-1.0
7	-1.0
8	-1.0
9	-1.0
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	-1.0
16	-1.0
17	1.0
18	1.0
19	-1.0
20	1.0
21	1.0
22	-1.0
23	-1.0
24	1.0
25	1.0
26	1.0
27	-1.0
28	-1.0
29	1.0
30	1.0
31	-1.0
32	1.0
33	-1.0
34	-1.0
35	-1.0
36	1.0
37	1.0
38	1.0
39	-1.0
40	1.0
41	-1.0
42	-1.0
43	-1.0
44	1.0
45	-1.0
46	1.0
47	-1.0
48	1.0
49	-1.0
50	-1.0
51	1.0
52	-1.0
53	1.0
54	-1.0
55	1.0
56	-1.0
57	-1.0
58	1.0
59	1.0
60	-1.0
61	-1.0
62	1.0
63	-1.0
64	-1.0
65	-1.0
66	1.0
67	1.0
68	-1.0
69	-1.0
70	1.0
71	-1.0
72	1.0
73	-1.0
74	-1.0
75	1.0
76	1.0
77	1.0
78	-1.0
79	-1.0
80	1.0
81	-1.0
82	-1.0
83	-1.0
84	-1.0
85	-1.0
86	-1.0
87	-1.0
88	-1.0
89	1.0
90	1.0
91	1.0
92	-1.0
93	-1.0
94	-1.0
95	-1.0
96	1.0
97	-1.0
98	-1.0
99	-1.0
100	1.0
;
param A : 1 2 3 4 :=
1	0.960 0.759 0.578 0.582 
2	0.056 0.095 0.266 0.528 
3	0.943 0.260 0.696 0.715 
4	0.367 0.550 0.441 0.680 
5	0.325 0.367 0.274 0.402 
6	0.394 0.491 0.737 0.260 
7	0.510 0.220 0.764 0.088 
8	0.131 0.144 0.896 0.397 
9	0.361 0.340 0.931 0.057 
10	0.973 0.425 0.604 0.415 
11	0.612 0.740 0.471 0.886 
12	0.181 0.280 0.633 0.918 
13	0.637 0.428 0.759 0.401 
14	0.560 0.532 0.659 0.457 
15	0.331 0.817 0.269 0.262 
16	0.323 0.235 0.299 0.926 
17	0.403 0.538 0.389 0.874 
18	0.531 0.055 0.704 0.164 
19	0.243 0.801 0.402 0.003 
20	0.918 0.563 0.735 0.577 
21	0.664 0.908 0.837 0.933 
22	0.712 0.255 0.405 0.011 
23	0.054 0.414 0.720 0.444 
24	0.144 0.975 0.344 0.847 
25	0.317 0.091 0.939 0.719 
26	0.142 0.637 0.656 0.876 
27	0.676 0.540 0.122 0.513 
28	0.291 0.225 0.728 0.696 
29	0.910 0.751 0.649 0.630 
30	0.937 0.774 0.169 0.281 
31	0.307 0.598 0.712 0.247 
32	0.805 0.388 0.954 0.462 
33	0.167 0.138 0.805 0.289 
34	0.278 0.581 0.875 0.006 
35	0.111 0.917 0.027 0.760 
36	0.222 0.697 0.321 0.391 
37	0.943 0.699 0.576 0.655 
38	0.893 0.460 0.333 0.846 
39	0.598 0.014 0.059 0.403 
40	0.710 0.681 0.883 0.585 
41	0.160 0.696 0.604 0.188 
42	0.151 0.410 0.152 0.472 
43	0.130 0.415 0.499 0.705 
44	0.445 0.598 0.529 0.778 
45	0.451 0.376 0.458 0.510 
46	0.761 0.220 0.460 0.644 
47	0.147 0.804 0.501 0.750 
48	0.956 0.901 0.402 0.108 
49	0.203 0.238 0.787 0.702 
50	0.856 0.147 0.541 0.386 
51	0.985 0.836 0.301 0.443 
52	0.080 0.203 0.566 0.539 
53	0.371 0.686 0.652 0.872 
54	0.644 0.828 0.337 0.046 
55	0.709 0.248 0.174 0.496 
56	0.117 0.353 0.097 0.658 
57	0.022 0.643 0.575 0.323 
58	0.921 0.403 0.290 0.487 
59	0.137 0.858 0.628 0.789 
60	0.064 0.433 0.557 0.401 
61	0.493 0.110 0.726 0.667 
62	0.677 0.785 0.960 0.774 
63	0.698 0.796 0.086 0.273 
64	0.172 0.194 0.522 0.462 
65	0.464 0.599 0.538 0.092 
66	0.268 0.156 0.820 0.825 
67	0.298 0.318 0.668 0.025 
68	0.275 0.701 0.770 0.234 
69	0.213 0.932 0.271 0.299 
70	0.390 0.472 0.399 0.912 
71	0.079 0.376 0.533 0.618 
72	0.920 0.886 0.624 0.740 
73	0.181 0.039 0.029 0.849 
74	0.015 0.124 0.765 0.786 
75	0.240 0.999 0.290 0.512 
76	0.496 0.902 0.770 0.894 
77	0.703 0.974 0.189 0.236 
78	0.657 0.156 0.477 0.281 
79	0.188 0.462 0.935 0.218 
80	0.998 0.233 0.435 0.763 
81	0.793 0.003 0.017 0.083 
82	0.315 0.579 0.417 0.085 
83	0.231 0.789 0.447 0.420 
84	0.039 0.078 0.181 0.516 
85	0.077 0.704 0.821 0.012 
86	0.132 0.010 0.155 0.567 
87	0.174 0.360 0.777 0.191 
88	0.292 0.507 0.022 0.709 
89	0.495 0.940 0.381 0.942 
90	0.405 0.981 0.438 0.586 
91	0.797 0.663 0.201 0.618 
92	0.123 0.750 0.685 0.278 
93	0.459 0.452 0.677 0.236 
94	0.120 0.528 0.150 0.142 
95	0.743 0.637 0.178 0.123 
96	0.539 0.528 0.560 0.977 
97	0.056 0.774 0.777 0.257 
98	0.452 0.380 0.142 0.137 
99	0.459 0.596 0.110 0.136 
100	0.754 0.256 0.360 0.904 
;
