0.320 0.674 0.883 0.404   1.0
0.779 0.459 0.063 0.337   -1.0
0.454 0.926 0.102 0.769   1.0
0.832 0.234 0.711 0.379   1.0
0.903 0.678 0.981 0.280   1.0
0.379 0.209 0.443 0.859   -1.0
0.139 0.179 0.001 0.022   -1.0
0.304 0.801 0.041 0.366   -1.0
0.093 0.820 0.063 0.195   -1.0
0.102 0.027 0.823 0.812   -1.0
0.497 0.716 0.083 0.478   1.0*
0.032 0.857 0.204 0.475   -1.0
0.532 0.614 0.895 0.533   1.0
0.477 0.837 0.436 0.518   1.0
0.574 0.611 0.023 0.638   -1.0
0.613 0.739 0.832 0.436   1.0
0.238 0.933 0.267 0.321   -1.0
0.263 0.353 0.268 0.467   -1.0
0.984 0.999 0.442 0.878   1.0
0.077 0.356 0.369 0.513   -1.0
0.571 0.088 0.485 0.595   -1.0
0.291 0.207 0.464 0.123   -1.0
0.016 0.361 0.576 0.283   -1.0
0.986 0.546 0.035 0.254   -1.0
0.863 0.238 0.012 0.304   -1.0
0.545 0.381 0.471 0.913   1.0
0.345 0.484 0.982 0.830   1.0
0.707 0.120 0.286 0.172   -1.0
0.929 0.187 0.604 0.505   1.0
0.286 0.491 0.017 0.321   -1.0
0.030 0.184 0.983 0.043   -1.0
0.099 0.587 0.869 0.570   1.0
0.764 0.915 0.985 0.746   1.0
0.064 0.453 0.865 0.350   -1.0
0.109 0.279 0.812 0.713   -1.0
0.283 0.999 0.276 0.300   -1.0
0.021 0.330 0.504 0.004   -1.0
0.992 0.103 0.960 0.861   1.0
0.460 0.624 0.588 0.445   1.0
0.333 0.508 0.823 0.199   -1.0
0.448 0.307 0.137 0.260   -1.0
0.922 0.543 0.020 0.197   -1.0
0.340 0.218 0.173 0.844   -1.0
0.546 0.836 0.324 0.505   1.0
0.997 0.965 0.321 0.585   1.0
0.691 0.918 0.918 0.514   1.0
0.776 0.963 0.424 0.914   1.0
0.445 0.835 0.766 0.465   1.0
0.610 0.805 0.250 0.783   1.0
0.472 0.328 0.485 0.797   1.0
0.181 0.794 0.799 0.502   1.0
0.208 0.193 0.298 0.126   -1.0
0.414 0.902 0.670 0.839   1.0
0.893 0.284 0.651 0.659   1.0
0.684 0.269 0.554 0.934   1.0
0.203 0.406 0.379 0.688   -1.0
0.213 0.870 0.997 0.011   1.0
0.376 0.219 0.564 0.674   -1.0
0.271 0.088 0.248 0.941   -1.0
0.064 0.834 0.211 0.715   -1.0
0.960 0.399 0.761 0.514   1.0
0.812 0.717 0.739 0.192   1.0
0.942 0.404 0.275 0.939   1.0
0.647 0.315 0.635 0.211   1.0*
0.980 0.482 0.077 0.228   -1.0
0.004 0.293 0.256 0.215   -1.0
0.749 0.175 0.407 0.510   -1.0
0.740 0.323 0.406 0.479   -1.0
0.811 0.422 0.919 0.086   1.0
0.334 0.733 0.676 0.968   1.0
0.666 0.949 0.426 0.743   1.0
0.848 0.747 0.470 0.105   -1.0*
0.478 0.854 0.136 0.885   1.0
0.825 0.625 0.687 0.230   1.0
0.201 0.042 0.526 0.120   -1.0
0.887 0.454 0.861 0.563   1.0
0.805 0.229 0.371 0.230   1.0*
0.548 0.079 0.719 0.018   -1.0
0.681 0.495 0.038 0.817   1.0
0.402 0.642 0.005 0.089   -1.0
0.109 0.291 0.914 0.635   -1.0
0.043 0.521 0.864 0.904   1.0
0.287 0.709 0.314 0.658   -1.0
0.285 0.206 0.018 0.004   -1.0
0.202 0.685 0.719 0.240   -1.0
0.099 0.642 0.145 0.104   -1.0
0.017 0.213 0.022 0.932   -1.0
0.432 0.975 0.369 0.297   1.0
0.453 0.583 0.587 0.767   1.0
0.527 0.052 0.447 0.545   -1.0
0.670 0.747 0.742 0.389   -1.0*
0.244 0.488 0.629 0.389   -1.0
0.360 0.406 0.805 0.382   -1.0
0.652 0.815 0.312 0.021   -1.0
0.191 0.474 0.695 0.778   1.0
0.936 0.305 0.293 0.383   -1.0
0.350 0.053 0.598 0.091   -1.0
0.585 0.335 0.930 0.214   1.0
0.523 0.574 0.130 0.328   1.0*
0.468 0.980 0.771 0.780   1.0
0.882 0.971 0.475 0.577   1.0
0.716 0.513 0.055 0.009   -1.0
0.905 0.359 0.948 0.503   1.0
0.390 0.088 0.785 0.321   -1.0
0.509 0.843 0.876 0.639   1.0
0.833 0.106 0.151 0.604   -1.0
0.151 0.486 0.857 0.626   1.0
0.607 0.342 0.576 0.662   1.0
0.472 0.567 0.710 0.420   1.0
0.160 0.810 0.158 0.945   1.0
0.460 0.454 0.974 0.336   1.0
0.145 0.168 0.199 0.295   -1.0
0.085 0.447 0.258 0.942   -1.0
0.321 0.549 0.415 0.897   1.0
0.767 0.369 0.778 0.477   1.0
0.848 0.637 0.600 0.006   1.0
0.731 0.466 0.036 0.705   -1.0
0.128 0.850 0.970 0.327   1.0
0.742 0.411 0.591 0.000   -1.0
0.664 0.321 0.903 0.079   -1.0
0.114 0.846 0.588 0.891   1.0
0.378 0.739 0.960 0.977   1.0
0.542 0.708 0.211 0.578   1.0
0.013 0.706 0.263 0.983   -1.0
0.407 0.726 0.444 0.999   1.0
0.797 0.663 0.047 0.700   1.0
0.266 0.814 0.588 0.854   1.0
0.911 0.231 0.444 0.871   1.0
0.190 0.413 0.917 0.401   1.0*
0.330 0.414 0.697 0.593   1.0
0.729 0.000 0.123 0.173   1.0*
0.849 0.970 0.661 0.896   1.0
0.403 0.161 0.484 0.991   1.0
0.189 0.902 0.247 0.634   -1.0
0.456 0.824 0.186 0.373   -1.0
0.177 0.703 0.639 0.874   1.0
0.036 0.603 0.296 0.159   -1.0
0.295 0.007 0.747 0.956   1.0
0.417 0.359 0.064 0.902   -1.0
0.080 0.091 0.252 0.327   -1.0
0.025 0.782 0.549 0.212   -1.0
0.774 0.389 0.858 0.412   1.0
0.154 0.448 0.865 0.450   -1.0
0.642 0.745 0.614 0.388   1.0
0.517 0.805 0.060 0.582   -1.0
0.410 0.661 0.798 0.662   -1.0*
0.523 0.688 0.770 0.072   1.0
0.925 0.845 0.288 0.783   1.0
0.550 0.937 0.706 0.416   1.0
0.313 0.057 0.132 0.928   -1.0
0.832 0.445 0.251 0.892   1.0
0.958 0.302 0.689 0.756   -1.0*
0.677 0.279 0.652 0.447   1.0
0.552 0.372 0.197 0.840   -1.0
0.454 0.390 0.093 0.161   -1.0
0.480 0.474 0.863 0.612   1.0
0.309 0.445 0.847 0.559   1.0
0.874 0.517 0.639 0.562   1.0
0.603 0.239 0.553 0.256   -1.0
0.904 0.807 0.058 0.100   -1.0
0.214 0.555 0.037 0.307   -1.0
0.842 0.787 0.189 0.705   1.0
0.591 0.014 0.845 0.438   -1.0
0.181 0.312 0.091 0.821   -1.0
0.364 0.424 0.113 0.917   -1.0
0.799 0.821 0.487 0.857   1.0
0.134 0.071 0.476 0.171   -1.0
0.191 0.013 0.165 0.381   -1.0
0.564 0.971 0.733 0.409   1.0
0.306 0.590 0.721 0.397   1.0
0.595 0.761 0.835 0.708   1.0
0.514 0.507 0.499 0.001   -1.0
0.421 0.135 0.435 0.897   -1.0
0.812 0.088 0.319 0.977   1.0
0.038 0.541 0.440 0.770   -1.0
0.849 0.076 0.540 0.570   1.0
0.950 0.166 0.234 0.785   1.0
0.912 0.299 0.381 0.412   1.0
0.746 0.832 0.436 0.180   1.0
0.742 0.993 0.817 0.061   -1.0*
0.286 0.099 0.510 0.726   -1.0
0.460 0.576 0.945 0.999   1.0
0.418 0.950 0.312 0.652   1.0
0.186 0.564 0.034 0.567   1.0*
